DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2030-2069)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2030-2069)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM          -103.577            -104.640             1.063         1.792
RESSURF          -75.891             -75.868            -0.023         6.402
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.423               3.617            -0.195         0.364
CLDHGH            25.983              25.429             0.554         2.049
CLDLOW            27.254              27.691            -0.437         1.203
CLDMED            17.142              17.045             0.097         1.084
CLDTOT            44.610              44.482             0.128         1.755
EKE_850           43.123              43.352            -0.229         1.778
EP             1.593e-01           1.449e-01         1.440e-02         0.198
FLNS              65.137              64.811             0.327         1.158
FLNSC             88.234              87.937             0.297         0.966
FLNT             212.793             213.810            -1.017         1.973
FLNTC            235.595             236.499            -0.904         1.445
FSDS              91.239              90.940             0.299         1.279
FSDSC            116.717             116.558             0.159         0.323
FSNS              74.347              74.160             0.187         1.305
FSNSC             95.963              95.916             0.047         0.874
FSNSC_ICE          1.550               1.511             0.039         0.251
FSNSC_LAND        78.066              78.063             0.003         1.173
FSNT             109.216             109.169             0.047         1.192
FSNTC            130.053             130.159            -0.106         0.830
ICEAREA           13.740              13.517             0.223         0.034
LHFLX             67.776              68.150            -0.373         3.931
LWCF              22.802              22.690             0.113         1.298
PRECT              2.111               2.141            -0.031         0.181
PRECT_LAND         1.093               1.108            -0.015         0.110
PRECT_OCEAN        3.438               3.492            -0.053         0.245
PREH2O            11.900              12.180            -0.280         0.463
PREH2O_OCEAN      18.848              19.249            -0.402         0.637
PSI_200           -8.112              -8.263             0.151         0.230
PS               977.211             977.448            -0.237         1.004
PSL             1017.459            1017.676            -0.217         1.010
QFLX               2.270               2.286            -0.016         0.121
SHFLX             17.324              17.067             0.256         2.625
SNOWHLND           5.793               5.588             0.206         2.107
SST               16.580              16.758            -0.178         0.365
STRESS_MAG         0.074               0.076            -0.002         0.012
SWCF             -20.837             -20.989             0.152         1.018
T_850            271.283             271.632            -0.349         0.570
TGCLDLWP         120.349             123.207            -2.859         7.420
TGCLDIWP          23.672              23.544             0.128         1.137
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           274.362             274.711            -0.349         0.660
TS               274.859             275.195            -0.336         0.663
TS_LAND          265.873             266.229            -0.356         0.706
U_200             25.276              25.795            -0.519         1.689
VT_850             0.413               0.404             0.009         0.978
Z3_500            55.206              55.309            -0.103         0.157
